Title,Review,Rating,Date
Cute but not practical,Top is completely see through. i cant imagine if it were to get wet what it would look like. it is a cute design but not practical at all.,1,22/01/2018
Petal soft and pretty.,"This is a very comfortable bralette- the silk covers one's most sensitive parts, so it feels like you are wearing almost nothing. it's very pretty, too. i wear a 34b bra and the small fits me. it doesn't have a lot of support, but it's very comfortable for wearing at home or on errands. the cups are a little far apart, but it still works. if you're looking for something pretty and comfortable for casual wear, i would recommend this at the sale price.",5,25/10/2018
Worked for me!,"I ordered down a size based on other reviews. i am 5' tall, 110 lbs and a size 26 is a great fit. i ordered both the navy and turquoise colors. my only complaint is the turquoise color is not the vibrant blue in the photo but more of a green tone.",4,19/03/2018
Nice bermuda shorts,"I thought these were very nice bermuda shorts. i have skinnier legs and i didn't see a problem with them being too baggy there. the olive color was nice, very comfortable material.",4,11/09/2018
"Runs large, not the most flattering fit","I was so excited that retailer finally had some bermuda shorts for those of us that are 1) older and don't want to show off that much leg anymore, and 2) are ""curvy on the bottom"" and really cannot wear the shorter shorts. i ordered these immediately in the navy. i usually wear a 31 in pilcro jeans, and like the other reviewer observed as well, i was floating in these - not only in the waist but everywhere. the legs are big - but it's supposed to be a boyfriend cut so i get that, but they just are",2,05/07/2018
"Not good if you sweat ""down there""","I bought these for a trip to the caribbean. i sweat a lot. if you have ever been humiliated by having a ring of sweat around your crotch area, then i do not recommend these shorts in the moss color. this color and fabric do not camouflage sweat. i will spare you the photos.",3,20/04/2018
Just as soft and stylish as the pants,"I was very happy to see these longer length shorts (i have 2 pair of the shorter ones and loved them last summer) so i ordered them immediately. i am curvy and wear a 29 in pilcro and ordered the navy, which is a lovely color and will go with everything. i think they fit great and i like the fact that they are a looser style. i will buy more when they go on sale.",4,13/05/2018
Man shorts,"I was so excited to try these, it's hard to find cute bermuda shorts. the legs were so wide. my husband asked if i was wearing his shorts. they don't look that wide in the picture. i am 5'4"" and 130 lbs i bought my regular size 28 but the waist was huge i could have sized down one or two sizes. unrolled they came to my knee.",1,14/09/2018
Amazing,Hands down most comfortable bra ever!,5,12/05/2018
Stays put,Classic design with nice details. stays in place for those active bikini wearers.,4,10/08/2018
So cute in person!,"The material of this swimsuit is amazing. the swimsuit is expensive, but it is high quality in person. definitely one i'd recommend buying!",5,06/03/2018
Super comfortable,I love this with skinny jeans! it is comfortable and soft. it fits well.,5,04/03/2018
Love this skort!,I was hesitant to buy this due to the price but so i glad i did when it came in the mail. great quality and surprisingly thick silky fabric. very comfortable and the shimmery thread detail is beautiful. could be very warm in the summer due to the thick tweed like fabric. fits and looks true to size just like it does on the model.,5,10/06/2018
A piece that stands out,"I like the idea of a skort, and how it is different than everything else out there. this skort is a bit dressy--perfect for a summer party or drinks on the patio at a city cafe. i love that it has pockets. the fabrics used in the patchwork are quality and the tailoring is nice. it fit me true to size. i can't wait for warmer weather to wear it!",4,04/03/2018
Adorable and hard working piece!,"I love this piece and have bought it for three different clients as well as myself... it runs a size larger - i am usually a 4 and the 2 fits perfectly. the skort was one size off for my clients too. definitely a great choice for spring/summer, especially if you love to dress up but lead an active lifestyle!",5,14/11/2018
So cute n comfy,Wore these to church and stayed cool without being scandy. i havent worn skorts since the 90s and this was such a nice return to that trend. :-),5,25/04/2018
"Really, really cute","I love skorts! so when i saw this online i ordered my usual size 6. arrived today & really cute. fit is good w/ some room to spare. almost too big but i'll stick w/ the 6. looks as in the pic except the lower front part & the back has a metallic sparkly fiber in the fabric. not shown in the pic though. it's understated but attractive. the fabric patches give this skort a special uniqueness. casual or a little dressy, just love... 5'3"", 117#.",5,20/02/2018
Good support,"I am not a fan of unlined bras, but this one was so pretty i had to try it. the lace doesn't look cheap, but overall i wouldn't have wanted to pay full price. it fits well and the support offers a nice shape (no cone!). i might go back for the other color.",5,31/05/2018
This is the perfect throw on shirt.,I can not speak highly enough about this shirt. i originally bought the navy one and then went back to purchase the other two colors. the material is soft and thin without being flimsy. the fit is very flattering.,5,24/08/2018
Hidden treasure,"This vest is awesome - the photo does not do it justice. you can dress it up or dress it down. great materials used. does run big, so select one size down!",5,01/06/2018
Way better in person,This is a must have! way cuter in person. love the look and feel. it runs large so size down. it's more cream than white,5,03/09/2018
On the fence,"I adore a good vest, so when i saw this one at my retailer i had to try it on immediately. i don't wear cream often, but the design and weight of this vest is dreamy. i tried it on at the store and i was on the fence. so i bought it, took it home and tried it on with everything. i am a curvy girl, and i wasn't thrilled with how this fit. now its part of the retailer athleisure line, and i could definitely see this being worn post workout with cute workout gear. girls who are tall and thin, or even w",3,10/11/2018
Beautiful,"Very unique, beautiful piece.  drapes well, accentuates curves in a classy way.  this is an eye catcher.  definitely.",5,25/10/2018
Cannot get enough of this!,"This is beautiful and fits perfect. it's even prettier in person, and extremely comfortable and high quality. i'm 5'3"" and it hits right above the knee. the straps are adjustable and fits true to size. i bought an xs and it fits perfect. must buy for a sweet little night gown!",5,22/06/2018
Sexy and comfortable,"Love this chemise. perfect blend of comfort and sexy. i bought it in pink, size small. i'm a 32d about 115 lbs and if fit perfectly, i could even probably go to an xs, but i didn't want to wait. the fabric is super soft and the color is vibrant. looks exactly like the picture. decent price.",5,14/03/2018
Cute & comfy,"Love this chemise. the lace detail is cute, the length of the skirt is longer than many of the night gowns you'd find in the cute, not frumpy category, and overall it is super soft and comfortable for lounging and sleeping. bought the large, and i'm normally around a size 8-10, between medium and large depending on the cut of the item. the large is slightly on the big size, so the straps move around when i sleep. not a big deal for me, so i kept it.",5,22/05/2018
Immediate favorite/ instant staple,"I stumbled upon this as a return to our store. at first, i was a little put off by the change in stitching to add support and shape. but once you put it on, it's perfect. it's very flattering and very comfortable. there are snaps in the crotch, but i wore it for a full day (8+ hours) and had no discomfort. if there were more colors, i'd buy them all lol.",5,12/09/2018
So disappointed,I wore this bodysuit once. it had a hole under the arm when i took it off,1,05/10/2018
Winter staple,This bodysuit will be a staple for me this winter. i wear it own its own and under just about everything. i just ordered another one!,5,19/11/2018
Love!,"Thick, soft, awesome quality - what's not to love?! i've had an awful time finding a new black warm cardigan this year to throw over anything from a tee to a casual dress, and this finally fits the bill! while it is soft like a sweatshirt, i would definitely not say that this is purely loungewear. nice enough to replace my old ratty sweaterknit!",5,01/03/2018
Too much cardigan,"I was definitely wearing retailer colored glasses (my term for when something looks great on you in the dressing room but leaves you wondering what-was-i-thinking when you try it on later) when i bought this. once i tried this on at home, i basically felt like i was swallowed up by this thing -- there's so much fabric layered in front and around your shoulders that you can actually feel the weight hanging down around your neck, and it naturally sticks out rather far in the back. i wanted to love t",2,12/05/2018
Cozy but bulky,"This has a lot of extra fabric in the chest area. i was hoping i could button and close that in a way that didn't just have it jutting out. luckily, it's still flattering. definitely bulky. and in the black, it's picking up lots of dust and lint. still a great cut and look, so i'm happy with it overall.",4,07/05/2018
Sfylish and versatile,"Great ""sweater/jacket for spring and fall! i am a pilates tea her and great for before and after workouts! great price and a little thicker material like a sweatshirt to keep you nice and warm. tried it in-store and bought on online ! love",4,11/03/2018
"Beautiful cardigan, poorly designed...","I wish i could wax poetic about this gorgeous cardigan. i would have happily bought it in both colors except for the deal-breaking design flaw - the extremely tight sleeves. even if you have stick-thin arms, i don't know how you would ever be able to wear anything other than a tank top under it. sadly for me, this was a no go :(",3,02/07/2018
Cozy comfy,"Great cardigan that can be put over everything! cute with yoga pants, jeans, or something dressier.",4,15/11/2018
Warm and cozy,"Saw this online and thought it would be perfect for my upcoming plane ride. originally ordered the teal color, but when it arrived, i was disappointed that it was more of a muddy greenish teal and not the light bluish teal like in the photo. exchanged it for the black version and i couldn't be happier. the black goes well with everything--looks great with jeans and yoga pants. love it!!",5,24/02/2018
Love this!!,Very comfy and warm! i love this! i bought the xs even though i am usually a s or xs.,5,23/08/2018
Too much material,"Beautiful color and softness, very warm, but the front is way too much material. it just wasn't flattering the way i wanted it to be. perhaps on a taller woman this would work.",3,19/09/2018
"So cute, but blue?","Interestingly, the description said this was blue, but as it looks on the picture, it is more grey. that being said, about the zippie: love. my stylist (i brought it in for a try on session at my local store), said, ""you know how i feel about sweats, i won't like it""... joke on her, she turned around and was ok, i shouldn't have looked, love the ruffles at the bottom...it makes this ""sweater"" much more special. it is actually really cute for casual day, jeans t-shirt, kids... or over sweats. any",5,24/03/2018
Casual beauty!,"This sweater jacket is perfect.
it is gorgeous, casual, unique and a closet must have!
i wore it for the first time to an nhl game with black jeans and a red tee and got tons of compliments.
it is a medium weight knit and so works well under a jacket in the cold winter months, will be perfect for early spring
as a stand alone jacket, and also in early fall!
a beautiful basic with a pretty accent ruffle that is sophisticated and adds just that little something special!
it runs true to size, with",5,07/10/2018
Weekend top,"I love this top. it is very comfortable and great to throw on with a tank and jeans for the weekend. i am curvy, and the drape of the top works well on my frame. i could see using it as a gym coverup as shown, but i like the top too much to get sweat on it :)",5,28/04/2018
Snow day loungers,"So soft and comfortable and flattering on! run small. i'm a 25/0 pant and a small in these is as small as i'd want to go! otherwise, excellent.",5,09/05/2018
Soft and comfortable,"I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear. this is a light weight bra, could be a little more supportive. pretty color, with nice lines. only downside is the retailer tag on the back - itchy (i need to remove it.)",4,21/05/2018
Itchy tags,"3 tags sewn in, 2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however, this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!",1,26/09/2018
Not comfortable because of itchy tags,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,1,24/07/2018
Great,"Love these-although i'm exchanging mine for a size larger. they are definitely wide leg, have plenty of length (i'm 5'6, and there is a good inch of extra length), but i found the waist band to fit snug without a ton of give. i also am working off extra baby weight in the stomach/hip area though, but thought it was worth mentioning. i'm pretty curvey, probably a size 31 in jeans right now, and exchanged a l for a xl. great quality",5,10/07/2018
Great wide leg sweatpants!,Retailerpologists has always carried the best sweatpants. i wish they sold these in more colors. very flattering!,5,12/06/2018
Disappointed,"Cute and very soft, but the elastic wasn't sewn in right. i took them out of the wash and the waistband was a twisted mess. disappointing for more expensive loungewear.",1,07/02/2018
The perfect bra,"Oh how i love this bra!! its so comfortable and very flattering. i find that many bralettes totally flatten me out but this one does not. and the floral lace here is just beautiful. the daisy-type flowers look so cute and feminine! i've got it in so many colors now. for sizing, i'm 34b and the s/m fits great.",5,18/06/2018
A zip-up jacket with a little extra style,"Like the other reviewer mentioned, this jacket has a very trim fit, so size up if you want any extra wiggle room or are not a fan of snug clothing. i liked the warm neutral color and the gathered ruched detail up the front. ultimately i did not buy it due to the sleeves being a bit long and the style more body-hugging than what i was looking for. but it is comfortable and a nice twist on a classic.",4,11/09/2018
Size up,"I love the ruching on this hoodie, which is why i ordered it. i'm typically a size small, 34b, 130lbs but the hoodie was a bit tight in the waist and around the bottom band. i might order it in a medium (although the sleeves will likely be too long) the only thing that makes me hesitate is the color. it's more of a brown gray (instead of just gray as you see on your computer screen.).",5,29/09/2018
So cute and comfortable,This fabric feels a little bit like heaven. i would totally wear this out and not just with my jammies. it's adorable and the fabric is so soft. i think i'm in love. i'm 5'2 95 lbs. xxsmall was a perfect fit.,5,15/02/2018
"Soft, body conforming and comfy!","First i must say that i bought this zip up hoodie because of the material and how incredibly soft and comfortable it was - absolutely worth the price. however, the sleeves were about 4"" too long! because i am a seamstress, and this was an easy hem for me i went ahead and purchased it and hemmed up the sleeves, but i was honestly shocked how long they were. you would have to have very long arms for this to fit you without alterations. if you don't mind rolling them up i suppose it might work as w",4,08/11/2018
Puts me right in the mood for spring!,"The peach color is beautiful on this jacket, and the quality and comfort is perfect. i wear a medium and the sizing was spot-on. i may get in another color if a sale comes around again.",5,21/03/2018
Wardrobe staple for me!,"Super soft and stylish. it's a major step up from my overly casual fleece jackets. love it. i think the sizing is dead on so i would disagree with a review that it runs small. i'm 5'10 and 142lbs. typically wear a size s, but sometimes have to size up to a m. i got a s. fits great. not too tight. sleeves are plenty long enough. i typically wear this with skinny jeans to work (aka grad school), and i like that it functions as a jacket on chilly mornings, but its not too bulky so i can keep it on",5,24/02/2018
Not true to size,I saw this jacket in the store and thought it was really cute..and finally a nice length!! ordered the xl because l and was afraid of shrinkage and it is no larger than the l. runs at least a size small with not alot of give. i will unfortunately have to bring it back.,3,04/12/2018
Runs two sizes too small,"Wow. had to check label to see if a m was shipped by accident.

nice details. 

too bad!",4,13/10/2018
Cute jacket.,Great jacket for a cool morning. not too heavy and i found it to run true to size. nice little details.,5,01/03/2018
Sizing inconsistency in coral but love,"Had the same inconsistent sizing issue in coral as miss janeausten. i ordered 2 corals, one in s & one in xs & the s was very much smaller than the xs as i could barely get my arms into the s (while my arms were loose in the xs). keeping the ""larger than s"" xs coral - the color is just lovely. also ordered the ivory in both ps & pm & keeping the pm as i like the longer arm length to cover my hands (for sun protection when i want/need). because you can cinch the waist tightly, a looser jacket sti",5,14/06/2018
Purchased coral and cream,"I purchased both the coral and cream. the coral is more rustic than vibrant and to me, more orange than a true coral. but for summer, is probably super cute. i found this ran large. for reference, i am 5'8'' 128lbs and purchased a small, my usual size in retailer. i kept the small in the cream but if i were to keep the coral, i would have sized down to xs. you can adjust a little, but the arms were loose and coral didn't look as good if not fitted. super cute with jeans and a tee, with yoga pants,",5,03/04/2018
Nice lightweight jacket,"I'm: 34a, 125 lbs, 5'8""
purchased: small

jacket fits well and is not too heavy. didn't feel tight in the arms. great to wear on a cool spring day! i bought the white and grey jacket.",5,10/03/2018
Versatile jacket,"This caught my eye in the store last week, and i decided to try it on. it's the perfect lightweight jacket. the photos here show it as activewear, but i think the details on it allow it to be much more versatile. it's very flattering and i found it to run true to size.",5,30/08/2018
Awesome!,I ordered the orange color too. these are perfect for throwing on over workout clothes and then running errands.,5,17/02/2018
Ended up with all 3,"I first got the coral one and was so in love with it that i ended up getting the other colors. it's just so cute, flattering, so cute with a long necklace and i just love how the back dips down and covers your butt. i've been heavily contemplating getting a second coral one i'm so worried if something happens to it lol i'm weird like that. it's always the good stuff that can't be replaced",5,24/02/2018
Love the coral color,"I'm 5'5 130 lbs and tried this on a small at my store and then ordered it in a small petite. i like the petite better even though there isn't much of a difference, the petite is about 28 inches long. it still covers the bum but i was hoping to wear it with shorts and i think it's too long for that. i love the beautiful coral color, received a compliment on the color the first time i wore it. the quality is superb. the only downside is i don't like the way it looks when zipped, it doesn't give mu",5,24/04/2018
Cute jacket,I just received this jacket in the cream color. it is so cute! you can change it from 3/4 to full length sleeves. i ordered both an xs and s and kept the s after i saw that i could cinch the waist to fit better. in the picture it looks a bit boxier than it really is possibly because not cinched. the material is good quality and the jacket is complete with attention to detail from the buttons to the jean contrast pull on the zipper. i love this jacket! it is a good cross over from athletic to cas,5,11/09/2018
Love it!,So pretty & comfortable! love it!,5,03/02/2018
Love it!,"Ordered online in white, just received it, love i! i wear m in most clothing, size 6 dress, jacket fits perfectly. would love one in the peach color shown in the pic but from the reviews stating it is much deeper in colour decided against it.",5,22/07/2018
Casual and slimming,"Great weekend toss around piece or with gym clothes.  the cut is flattering, yet not tight.  i purchased in 2 colos  b/c i liked it so much and was looking for a piece like this for a very long time! cute with yoga legging, jeans, sweats etc.",5,19/04/2018
Super soft,"Great, really soft hoodie. i got an xxs petite and it's still a little big, but it works. i'm 5'1"", 95lbs.",5,03/09/2018
Beautiful for 1 day,"This hoodie is beautiful, soft and flattering. but the soft fabric pilled badly after one wearing and it's probably going to look ratty after a few washings. i might accept pilling in a $30 sweatshirt but not at this price. i don't really want to take it back but i will. (i've complained to retailer employees in the past about other clothes pilling and poor quality, and they've always said i could bring it back)",3,29/09/2018
Great basic tank,"Great basic tank with a bit of a 'flair' at bottom that makes it super cute. will layer with cute bra most likely. the coral color is great, too. very pretty. i also got the white.",5,18/07/2018
Sturdy basic,"Got this in gray, pretty good quality, all around good basic.",4,27/07/2018
Perfect tank!,"I know this is labeled under activewear, but the fabric is a dream, it's incredibly flattering and could absolutely be worn in any outfit! i just bought the moss and may end up getting the other colors too. i generally am a l or xl, and the large fit well. it's alined and has a bit of stretch to it. it's so comfortable! highly recommend!",5,09/06/2018
Pure perfection,This is a great top. i almost walked right by it because it is so simplistic compared to the other things in retailer. i just wanted something super casual and this fits the bill. the fabric is a dream and it has a nice drape without being overly voluminous. i usually love white tops but the white was my least favorite. i ended up getting the moss and the gray. i could have gotten either the xs or the s. i went with the small because it was a little longer and had a wee bit more room in the upper,5,13/07/2018
See through and strange,"I own some pure and good cotton tanks similar to this in black that i live in teaching dance. i was hoping these would be the same. i ordered the pale blue and it is completely see through and fits tight in the back and loose in the front. i have no desire to have a bra/sports bra show whether out the sides or through the fabric, it is tacky!",1,09/09/2018
Comfy & cool,What a great purchase (especially on sale!) as this tank can't get more comfy. the material is soft and great to wear during those warm weather months. love it!,5,02/08/2018
Better than it looks!,"I saw this top online and fell in love with it, as i live in white cotton comfy tanks, but i was concerned that it might make me look like i was wearing a tent from the side profile since i am top heavy - 36d, and i happen to have this problem with some tops and dresses. so i went into the store to try it on in a size l and i was shocked how not only did it not look like a tent it had a slimming effect! i felt so attractive in it i had a hard time looking at myself in the mirror (believe me this",5,06/11/2018
Adorable suit,"I ordered this suit online which is something i never do!! i am 5'6"" 120# and ordered the 6. it fits perfectly! it covers up nicely. i am small chested (34a) and it has padded cups which enhances my chest. the ruching hides any tummy flaws. really a slimming suit and great quality.",5,12/04/2018
Perfect for post-baby,"Like other reviewers have mentioned, i was hesitant to spend so much money on a swimsuit. after lots of searching and reading reviews to try to find a bathing suit for a newly postpartum body, i went for it. i am so happy that i did - it fits perfectly. snug in all the right places, and makes my extra baby pudge seem nonexistent. before baby i was a bikini-only kind of girl, so i wasn't sure how i'd feel in a one piece in this style. it really is better than i could have imagined. i highly recom",5,03/05/2018
Love!!,"I love this swisuit. it is very well made and super flattering. i've received so many compliments on it. i have 3 little kids (4, 2.5, and 7 months) so it is perfect for chasing them around at the pool or beach. i am still working on losing the baby weight, so the rusching in front works well to hide my tummy. i am 5'2 and about 116lbs and the size 4 works well. i'm hoping it will go on sale so i can buy another one, but i imagine these will sell out quickly.",5,25/06/2018
Believe the hype!,"I have been wearing tankinis for a long time and haven't worn a one piece in years. i'm 40 and, let's be honest, things don't look the same in a bathing suit as they did 20 years ago. this suit is very flattering - i'm not obese, but i do have a bit of a jelly roll in the stomach area and the combination of the polka dots and the ruching, as well as the construction of the suit itself with the side panels, really camouflages my stomach area. although there isn't underwire, which i prefer, i do f",5,24/05/2018
Great fit--exactly as expected!,This is perfect if you are looking for comfort and style in the same bathing suit.,5,05/04/2018
Fits amazing,"This is the first one piece swimsuit i've owned since i was a toddler. i'm 5'3"" and 120 lbs 34b bust with short torso and athletic built legs...so i wasn't sure how this would fit. was i ever surprised!! i bought the size small in the mint chevron pattern. the material is substantial but not overly thick. it is double layered and the cups are padded for extra coverage. it was a little tight to pull on but after having it on it conformed to my curves like it was cut to fit them. the top offers an",5,27/10/2018
Very flattering and easy to wear,"Really love this bathing suit. it fits very well, definitely don't need to size up for this one. flattering to my mom-bod and breasts that have seen perkier days. excited to be taking this one to costa rica with me this summer!",5,07/04/2018
Had high hopes but pattern is sewn crooked,"The chevron pattern on the mint/seaside version needs to be centered in the front to look right. mine was totally off so i returned it and had them overnight me a new one to my vacation address. unfortunately, the 2nd suit i received was also ""off center"". that one is going back too. would have loved this otherwise! a quality check on this is definitely needed.... beware.",2,13/02/2018
Chevron pattern off center in back,"I purchased this swimsuit in the mint. gorgeous color combination. i'm 5'5"" and weigh 117 lbs. i purchased a small. the fit is true to size. i love the front design; however, my husband promptly brought the back of the swimsuit to my attention. the chevron was off center. the design should have been centered with my back; however, it was on the right side of my back. i immediately called retailer assuming the product was defective. the item was sold out on line; however, a supervisor was able to l",1,07/09/2018
Beware of the mint striped pattern,"I have this suit in the ""tile"" pattern and i love it. i am a breast cancer survivor and this suit is perfect for as it covers a little issue i have on the left. so i ordered the ""mint"" pattern. the colors are beautiful but the pattern is off. the ""v"" pattern on the front is not centered. as a result, my body looks a little lop-sided. i looked carefully at the suit on the model and noticed it was slightly off center on her also. however my suit is quite a bit off-center. it's too bad, because the",3,14/07/2018
Most flattering suit i've ever seen,"I love this suit! the fit is incredible. 

i'm unsure that the fabric will stand the test of time, but i got it on sale, and i don't know about you ladies but ill do anything for a great suit!",5,10/07/2018
Lovely one piece,"This is a beautiful swim suit! the overall look is lovely; the ruffle is sweet and the low-cut front keeps it just the right amount of sexy for a one piece. i didn't keep it only because i would have preferred the leg opening to be cut a little higher. otherwise, it fit very well. i'm 5'10"" and 150, with broad shoulders and a substantial rack (nursing a baby right now) and i didn't have any problems with support. great buy!",4,17/08/2018
The 1 piece,"A must have 1 piece. every time i wear this i get compliments! it's very flattering, amazing quality, soft material, good support and vibrant colors! i wish this came in more colors and patterns. worth the money no questions asked!",5,27/05/2018
Beautiful and flattering,"I ordered this in the china pattern color, and the colors are vibrant and beautiful! the suit is well made and slimming. there are no bra cups; just a shelf bra, but the tie halter adds some extra support. i have trouble buying bathing suits, but i am very happy with this one.",4,15/09/2018
Flattering suit!,I ordered this after reading the stellar reviews and i was not disappointed! i ordered the black and purple floral motif and both are excellent. i have a rather big chest (36dd) and the shelf bra and halter support are just enough for me. look forward to wearing this on my upcoming vacation!,5,09/03/2018
Not for the busty babes!,"Loved the material and the style. unfortunately, my fears came true when i received this swimsuit, and there wasn't enough support despite a review i had read. as a 36d, i thought the halter would be enough support, however, the material is too stretchy to rely on that completely. i am sad i won't be keeping this though. the material is heavenly!!!",2,20/02/2018
Lovely little number,"Took the plunge and ordered this in the romantic floral pattern. i almost got the black because i thought it would be 'timeless' but the print is so fun - i'm glad i went with it! ordered a size m - for reference, i am 5'6, 135lbs, 34c, 28/39 and the fit is comfortable. i don't need a lot of support :) and i find the coverage adequate up top and on the bottom. i think it'll still fit perfectly even if i lose a few pounds before my beach trip. this is the first one-piece i've had since i was a gi",5,30/06/2018
Ruffled halter maillot,Bought this for my girlfriend and she couldn't be happier! she's a size 4/34c and the small fits perfectly and is so flattering and comfortable. highly recommend.,5,01/03/2018
Breastfeeding friendly,"I'm on the smaller end of the bust spectrum even nursing i'm a 32c/d at my fullest. i adore this suit. there is zero support so if you need that move on don't buy this. i love it -hides the post partum baby puff, pattern detracts from flaws, deep plunge is modest yet still sexy and it's super stretchy and easily be pulled aside to feed a baby. underneath there's a fabric bra insert so if you bend over nothing can be seen which i like. haven't worn in water or waves yet but fabric feels awesome.",5,07/03/2018
Flattering and subtle,"This is a really nice suit. it fits well and is slimming with the cross waist. it's also supportive in the bust even, and maybe especially, because it doesn't have moulded cups or underwire, which allows for flexible sizing. the back rises high enough that it supports around the chest as well as from the halter straps. the straps are wide too so they don't dig in and are comfortable. the look is subtle and feminine in the black and the quality is good. it is true to size, but might run a tad lar",5,24/04/2018
Beautiful suit,"I bought a suit similar to this last year, and loved it! this year i bought the pineapple print, and it is beautiful (size 2). it is classy/sexy. i have a long torso, so i like that it covers me better than most one piece swim suits i try on. i highly recommend this product!",5,15/08/2018
Perfect!,"I love this! great quality and flattering. i'd definitely agree that it runs true to size, as i had to size up because it was the only size available, and it is a little large in the stomach and rear, but it works well in the chest area. the v neck isn't too low and the sides provide good coverage up top. also, it covers the rear end well! material is nice and thick and the seams are good quality. super happy with this purchase, just wish it was in stock in the smaller size so it held me in more",5,30/03/2018
Stunning!,"I got the floral suit and honestly, it's the most beautiful bathing suit i have ever owned. i have yet to wear it to the pool or beach so i don't know how it holds up when getting wet. i can see where other reviewers have said there is no support in the chest. it is padded which is nice, but no underwire or anything to hold the girls up. if you are big chested this could be an issue - not so much for me. :) looking forward to wearing this suit when the weather gets warmer!",5,19/04/2018
Gorgeous bathing suit!,"Such a beautiful pattern - i think you could wear it with a skirt and it wouldn't even read as a bathing suit. love the lacy pattern in front. great fit. i bought a medium, when i usually wear a small in retailer. it fits a little loose, so i'd probably buy a small if i bought another one, but it all depends on how you like your suits to fit.",5,13/08/2018
Perfect swimsuit,"This swimsuit is amazing! i am 5' 4"" and about 135 lbs, and ordered a small. however, i am returning it for an extra small (just a personal preference as i like my swimsuits a bit snug so they don't get loose when wet). the fabric is very forgiving and stretchy (which is why i'm exchanging for a smaller size - i can slide the size small up my legs with ease), but the fabric is also very sturdy (so it seems, i haven't worn it in the water yet obviously). overall, very cute and surprisingly flatte",5,16/08/2018
This bathing suit is a dream.,"Simply perfect. i ordered the white floral maillot in a large (5'6""-ish, 145 pounds) and it is so comfortable and flattering that i do not want to take it off. the colors are so vibrant and accurate, which is great considering not all internet item photos are the same in person. i do recommend ordering a size up -- the medium was snug, but definitely remember that your suit shrinks when wet. now that they have a new print -- hello fish!! -- i really really want another!",5,30/04/2018
Extremely pretty swimsuit,"Extremely pretty swimsuit, gorgeous cut in the front with the lace and the floral print, very flattering to hourglass shapes. coverage across rear end is a bit less than i would prefer, but it's so very pretty that i'm keeping it. several comments from friends that this could be worn as a tank top for regular wear it is so pretty.",4,29/08/2018
"Pretty pattern, lacking in support","I love the way that this suit looked, however i found that it was lacking in support. i was disappointed to discover upon trying it on, that it just does not cover my butt. it fit elsewhere just fine, but the slim cut up the sides left it a little too revealing for my liking. in addition i found the top to be awkwardly fitting around the chest area. i am a 34b and ordered a small and it seemed to be too baggy at the top.",3,18/09/2018
Perfect suit,"I have a large cup size and year after year i am in the search of the perfect suit that supports, but doesn't look matronly. this year i had a baby and wanted to move to a one piece, but still wanted to feel sexy and youthful. i thought there is no way this suit is going to look good and/or support a 34ff, but gave it try because of all the 5 star reviews. i tried it on and my husband just said ""wow!"" this suit hugs you in all the right places and actually supports - i don't know how, but it doe",5,15/07/2018
Really soft fabric,"The fabric is super soft and comfortable and the look is cute, however the drape on the front crossover is not great and doesn't flatter well. the shorts will probably run a little on the short side for some - i'm very short (5') and the length is great for me but i'm guessing not for the average height.",3,28/02/2018
Better than the photos,"Ok, so first things first. i'm 5'4"", 125#, 4/27, 32g and i took a small in this. it's your typical cloth/stone fabric and feel sooo good!
i do agree that this romper is on the shorter side but i liked that about it. it is far more flattering than the modeling photos online. it doesn't look that ""oversized"". i can see where taller ladies won't go for the shortness but at 5'4"" that's just not an issue for me. the bottom is very flattering and doesn't do that ""long grandma butt"" that some rompers",5,31/10/2018
Do i dare??,Lovely! feels like you are wearing silk and hits for comfort in all the right places. still mulling whether the short length is appropriate and if my athletic/full lower body is complimented by this cutie...needed a second opinion to push me over the top and take this home as a summer staple,4,27/08/2018
Super short shorts...,"Looked really cute on the hanger, so i took it with me into the dressing room. the fabric is super soft, and the top is very flattering however the bottom is way too short! you can't tell from the picture but the sides are rounded and go up higher on your leg. the model has the waist band pulled lower than i think you'd most likely be wearing it making the outfit appear longer. i wish i could pull this off...maybe i'm just too old for it.",2,01/12/2018
Easy to dress up or dress down,"I absolutely love this romper. the chambray material is super comfy and easy to wear. i ordered a size up (l ), and i'm happy i did bc it would have been a little too tight in the arm area to squeeze into and gave a little extra wiggle room in the belly area. for reference i usually wear size 8/m and i'm a 34c",5,03/07/2018
Very nice,"I'm not sure what cup size i am, 36b or 36c, but the medium fits perfect. material is soft and stretchy. i usually wear a medium size shirt. i definitely won't be wearing it out in public, but i like it a lot for at home wear. the matching underwear may run large. i'm usually one size larger in bottoms than in tops, but the medium worked for those too.",5,26/02/2018
Soft!,"Super soft comfy underwear. i sized up and they fit perfectly. normally wear xs and bought m for most comfortable fit. they don't ride up. i ended up ordering 5 more pairs. super comfy without being too ""mom"" like.",5,26/09/2018
